Name	Genes (tot)	Stat (dist.dir.up)	p (dist.dir.up)	p adj (dist.dir.up)	Stat (dist.dir.dn)	p (dist.dir.dn)	p adj (dist.dir.dn)	Stat (non-dir.)	p (non-dir.)	p adj (non-dir.)	Genes (up)	Stat (mix.dir.up)	p (mix.dir.up)	p adj (mix.dir.up)	Genes (down)	Stat (mix.dir.dn)	p (mix.dir.dn)	p adj (mix.dir.dn)
GO_REGULATION_OF_VASCULOGENESIS	13	0.61253	0.95205	1	0.38747	0.048951	0.18481	0.42747	0.7013	0.8955	4	0.43538	0.65634	1	9	0.42396	0.58641	0.80693
GO_LENS_FIBER_CELL_DIFFERENTIATION	23	0.44239	0.41159	1	0.55761	0.58941	0.81124	0.42239	0.72527	0.90374	14	0.4309	0.8022	1	9	0.40916	0.52747	0.77359
GO_SENSORY_PERCEPTION	491	0.45243	0.30869	1	0.54757	0.69231	0.88734	0.40845	0.97203	0.98897	277	0.3914	0.88012	1	214	0.43053	0.92707	0.97616
GO_HEPATICOBILIARY_SYSTEM_DEVELOPMENT	125	0.59114	1	1	0.40886	0.000999	0.013594	0.31457	0.007992	0.18275	50	0.37106	0.55145	1	75	0.27691	0.000999	0.030556
GO_FATTY_ACID_CATABOLIC_PROCESS	73	0.7742	1	1	0.2258	0.000999	0.013594	0.22053	0.000999	0.062416	14	0.39758	0.67632	1	59	0.17851	0.000999	0.030556
GO_REGULATION_OF_VESICLE_FUSION	58	0.47156	0.5954	1	0.52844	0.40559	0.65761	0.41125	0.76523	0.91926	29	0.35437	0.41059	1	29	0.46813	0.87712	0.95908
GO_MITOCHONDRIAL_RESPIRATORY_CHAIN_COMPLEX_I_BIOGENESIS	51	0.48516	0.73327	1	0.51484	0.26773	0.51392	0.4717	0.98202	0.99129	26	0.45275	0.92907	1	25	0.49141	0.92507	0.97591
GO_REGULATION_OF_LIPID_STORAGE	40	0.67504	1	1	0.32496	0.000999	0.013594	0.35825	0.29071	0.67096	11	0.46969	0.85514	1	29	0.31597	0.073926	0.34081
GO_CARBOHYDRATE_TRANSPORT	92	0.52538	0.96404	1	0.47462	0.036963	0.15542	0.33699	0.066933	0.42296	41	0.31308	0.13187	0.84004	51	0.35621	0.15185	0.45719
GO_REGULATION_OF_CELLULAR_RESPONSE_TO_GROWTH_FACTOR_STIMULUS	222	0.54775	1	1	0.45225	0.000999	0.013594	0.39564	0.74026	0.90964	102	0.44623	0.99101	1	120	0.35264	0.041958	0.26135
GO_EMBRYONIC_HEMOPOIESIS	19	0.6679	0.99301	1	0.3321	0.007992	0.056453	0.29436	0.10589	0.48477	5	0.29729	0.32567	0.96677	14	0.29332	0.088911	0.36545
GO_EMBRYO_DEVELOPMENT_ENDING_IN_BIRTH_OR_EGG_HATCHING	532	0.45873	0.44755	1	0.54127	0.55345	0.78588	0.3548	0.014985	0.25275	290	0.33264	0.01998	0.55345	241	0.3788	0.14885	0.45371
GO_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_OR_POLYSACCHARIDE_ANTIGEN_VIA_MHC_CLASS_II	89	0.43503	0.26973	1	0.56497	0.73127	0.91329	0.33219	0.058941	0.406	51	0.30392	0.06993	0.75409	38	0.37012	0.28272	0.59452
GO_RESPONSE_TO_IONIZING_RADIATION	138	0.44803	0.34865	1	0.55197	0.65235	0.8587	0.38354	0.52647	0.81035	80	0.37866	0.61239	1	58	0.39029	0.43956	0.71304
GO_PROTEIN_EXPORT_FROM_NUCLEUS	29	0.40396	0.19381	1	0.59604	0.80719	0.96411	0.43711	0.84615	0.94595	17	0.35606	0.45854	1	12	0.55195	0.95005	0.98653
GO_EPITHELIUM_DEVELOPMENT	887	0.48579	0.99401	1	0.51421	0.006993	0.051274	0.38231	0.51149	0.80531	460	0.3771	0.77223	1	426	0.38649	0.18981	0.51112
GO_POSITIVE_REGULATION_OF_SEQUESTERING_OF_CALCIUM_ION	16	0.55692	0.85614	1	0.44308	0.14486	0.361	0.37335	0.48751	0.79508	6	0.31625	0.35465	0.97933	10	0.40761	0.55145	0.78595
GO_SECONDARY_METABOLITE_BIOSYNTHETIC_PROCESS	20	0.53329	0.81718	1	0.46671	0.18382	0.41037	0.39489	0.57343	0.83319	11	0.51043	0.92907	1	9	0.25366	0.075924	0.345
GO_CELL_MIGRATION_INVOLVED_IN_HEART_DEVELOPMENT	14	0.4896	0.63736	1	0.5104	0.36364	0.61733	0.29543	0.14186	0.52652	8	0.36531	0.47552	1	6	0.20226	0.067932	0.32855
GO_PROTEIN_LOCALIZATION_TO_CYTOSKELETON	28	0.29568	0.005994	0.18725	0.70432	0.995	1	0.41767	0.71628	0.90136	23	0.3968	0.67532	1	5	0.51368	0.79321	0.92091
GO_NUCLEAR_ENVELOPE_REASSEMBLY	17	0.3455	0.08991	0.83614	0.6545	0.91109	1	0.22586	0.012987	0.23905	11	0.16303	0.008991	0.39454	6	0.34104	0.35065	0.65336
GO_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_IN_RESPONSE_TO_DNA_DAMAGE_BY_P53_CLASS_MEDIATOR	29	0.51808	0.81219	1	0.48192	0.18881	0.41711	0.33559	0.23177	0.62047	14	0.34932	0.43956	1	15	0.32278	0.17083	0.48103
GO_REGULATION_OF_AUTOPHAGY	243	0.47666	0.77922	1	0.52334	0.22178	0.45865	0.34505	0.031968	0.32303	133	0.35903	0.38362	0.99279	110	0.32815	0.00999	0.1204
GO_PHOSPHOLIPID_METABOLIC_PROCESS	338	0.49034	0.94905	1	0.50966	0.051948	0.19203	0.384	0.56444	0.82781	172	0.37576	0.63037	1	166	0.39254	0.41259	0.69841
GO_AMMONIUM_ION_METABOLIC_PROCESS	163	0.55327	0.999	1	0.44673	0.001998	0.022784	0.33161	0.015984	0.25323	72	0.364	0.46953	1	91	0.30597	0.003996	0.073233
GO_REGULATION_OF_INTERLEUKIN_4_PRODUCTION	29	0.46365	0.52947	1	0.53635	0.47153	0.71781	0.3619	0.37463	0.73565	15	0.3129	0.24476	0.95895	14	0.4144	0.54945	0.78595
GO_NCRNA_CATABOLIC_PROCESS	22	0.31818	0.028971	0.44012	0.68182	0.97203	1	0.44354	0.81618	0.93386	17	0.40465	0.67932	1	5	0.5758	0.8981	0.96677
GO_REGULATION_OF_FAT_CELL_DIFFERENTIATION	100	0.53008	0.97003	1	0.46992	0.030969	0.13919	0.35934	0.23477	0.62323	49	0.40765	0.83916	1	51	0.31292	0.017982	0.16754
GO_GLUTAMINE_FAMILY_AMINO_ACID_BIOSYNTHETIC_PROCESS	20	0.48695	0.60839	1	0.51305	0.39261	0.64552	0.41031	0.64735	0.86496	10	0.38421	0.61239	1	10	0.4364	0.68432	0.86007
GO_REGULATION_OF_PROTEIN_ACTIVATION_CASCADE	34	0.85237	1	1	0.14763	0.000999	0.013594	0.26459	0.016983	0.26341	2	0.73921	0.95604	1	32	0.23492	0.000999	0.030556
GO_REGULATION_OF_TELOMERASE_RNA_LOCALIZATION_TO_CAJAL_BODY	15	0.28248	0.024975	0.40731	0.71752	0.97602	1	0.41441	0.66234	0.87444	12	0.3621	0.45854	1	3	0.62365	0.88511	0.96119
GO_REGULATION_OF_RNA_STABILITY	136	0.39057	0.00999	0.26858	0.60943	0.99101	1	0.41813	0.89311	0.96489	88	0.38126	0.66334	1	48	0.48572	0.97203	0.99721
GO_BUNDLE_OF_HIS_CELL_TO_PURKINJE_MYOCYTE_COMMUNICATION	10	0.49755	0.64336	1	0.50245	0.35764	0.61019	0.44271	0.72028	0.90233	6	0.53151	0.90609	1	4	0.30951	0.29371	0.60897
GO_REGULATION_OF_CELL_MATURATION	18	0.47374	0.56444	1	0.52626	0.43656	0.68576	0.28558	0.090909	0.47001	10	0.30976	0.31369	0.95895	8	0.25535	0.081918	0.35549
GO_NEGATIVE_REGULATION_OF_CELL_DEVELOPMENT	287	0.46387	0.57243	1	0.53613	0.42857	0.67777	0.35284	0.04995	0.38535	155	0.33395	0.06993	0.75409	132	0.37502	0.19081	0.51225
GO_MAMMARY_GLAND_MORPHOGENESIS	39	0.50777	0.78422	1	0.49223	0.21678	0.45148	0.37025	0.42757	0.76721	19	0.36963	0.52448	1	20	0.37085	0.35365	0.65515
GO_CELLULAR_PROTEIN_COMPLEX_DISASSEMBLY	119	0.45173	0.3996	1	0.54827	0.6014	0.8196	0.38907	0.62537	0.85543	71	0.40712	0.84216	1	48	0.36237	0.20779	0.53331
GO_REGULATION_OF_CYTOKINE_PRODUCTION_INVOLVED_IN_INFLAMMATORY_RESPONSE	18	0.56038	0.88412	1	0.43962	0.11688	0.31596	0.37953	0.48152	0.79376	7	0.35752	0.5035	1	11	0.39354	0.47353	0.73584
GO_URETER_DEVELOPMENT	11	0.57737	0.85914	1	0.42263	0.14186	0.35593	0.25484	0.081918	0.45187	5	0.35055	0.46454	1	6	0.17509	0.034965	0.23894
GO_BODY_MORPHOGENESIS	43	0.51007	0.83317	1	0.48993	0.16783	0.38938	0.38798	0.54845	0.81736	19	0.33024	0.2977	0.95895	24	0.43368	0.69231	0.86368
GO_SOMATIC_STEM_CELL_POPULATION_MAINTENANCE	65	0.45473	0.46054	1	0.54527	0.54046	0.77613	0.35917	0.28072	0.66227	34	0.30089	0.1029	0.81874	31	0.42309	0.66434	0.84762
GO_CYTOPLASMIC_MICROTUBULE_ORGANIZATION	38	0.50185	0.77722	1	0.49815	0.22378	0.46085	0.36054	0.35664	0.72705	20	0.39602	0.66034	1	18	0.32112	0.14885	0.45371
GO_POSITIVE_REGULATION_OF_DNA_DAMAGE_RESPONSE_SIGNAL_TRANSDUCTION_BY_P53_CLASS_MEDIATOR	13	0.3969	0.23976	1	0.6031	0.76124	0.93052	0.49675	0.87912	0.95959	8	0.42358	0.68032	1	5	0.61383	0.93407	0.9791
GO_PROTEIN_ACTIVATION_CASCADE	68	0.80171	1	1	0.19829	0.000999	0.013594	0.19796	0.000999	0.062416	11	0.38607	0.58342	1	57	0.16166	0.000999	0.030556
GO_POSITIVE_REGULATION_OF_PHOSPHOLIPASE_ACTIVITY	53	0.54893	0.96603	1	0.45107	0.034965	0.15059	0.44591	0.93606	0.9774	22	0.45046	0.8961	1	31	0.44269	0.78921	0.91984
GO_NEGATIVE_REGULATION_OF_PEPTIDYL_TYROSINE_PHOSPHORYLATION	37	0.47024	0.56943	1	0.52976	0.43157	0.68057	0.41658	0.74326	0.91181	19	0.37397	0.54246	1	18	0.46156	0.7952	0.92154
GO_REGULATION_OF_COLLATERAL_SPROUTING	18	0.28829	0.015984	0.32084	0.71171	0.98501	1	0.25637	0.038961	0.35272	13	0.19204	0.012987	0.47569	5	0.42364	0.58841	0.80818
GO_ESTABLISHMENT_OR_MAINTENANCE_OF_MONOPOLAR_CELL_POLARITY	14	0.41606	0.32967	1	0.58394	0.67133	0.87229	0.4456	0.77722	0.92177	7	0.27771	0.22478	0.95731	7	0.61348	0.96004	0.99133
GO_NEURON_RECOGNITION	33	0.50081	0.75524	1	0.49919	0.24575	0.48821	0.41448	0.74725	0.91238	19	0.49293	0.95604	1	14	0.30801	0.12288	0.41568
GO_NUCLEOSIDE_DIPHOSPHATE_METABOLIC_PROCESS	78	0.48353	0.71528	1	0.51647	0.28571	0.53343	0.36283	0.27572	0.65618	43	0.39223	0.68332	1	35	0.32672	0.083916	0.35958
GO_MICROTUBULE_POLYMERIZATION_OR_DEPOLYMERIZATION	38	0.44393	0.36264	1	0.55607	0.63836	0.84834	0.38788	0.57043	0.83046	21	0.34471	0.36663	0.9842	17	0.4412	0.70829	0.87379
GO_RESPONSE_TO_AMMONIUM_ION	47	0.48669	0.71928	1	0.51331	0.28172	0.52909	0.33535	0.16284	0.54806	27	0.39834	0.69231	1	20	0.25032	0.021978	0.18461
GO_REGULATION_OF_INTERLEUKIN_5_PRODUCTION	16	0.57696	0.8991	1	0.42304	0.1019	0.29106	0.27754	0.10789	0.49038	6	0.24194	0.16983	0.91014	10	0.2989	0.15784	0.46452
GO_REGULATION_OF_GLUCOSE_IMPORT	56	0.64216	1	1	0.35784	0.000999	0.013594	0.3707	0.38362	0.74149	16	0.39628	0.64635	1	40	0.36048	0.22078	0.54127
GO_NEGATIVE_REGULATION_OF_PROTEOLYSIS	305	0.4951	0.95604	1	0.5049	0.044955	0.1757	0.35641	0.068931	0.42706	156	0.36126	0.40559	1	149	0.35132	0.017982	0.16754
GO_PINOCYTOSIS	12	0.3238	0.081918	0.7969	0.6762	0.91908	1	0.4604	0.80719	0.93381	9	0.40534	0.62937	1	3	0.62559	0.88911	0.9634
GO_REGULATION_OF_EPITHELIAL_CELL_APOPTOTIC_PROCESS	56	0.63022	1	1	0.36978	0.000999	0.013594	0.3512	0.21479	0.60341	21	0.48218	0.95005	1	35	0.27261	0.00999	0.1204
GO_PHOSPHATIDYLETHANOLAMINE_METABOLIC_PROCESS	16	0.56764	0.87712	1	0.43236	0.12388	0.32748	0.35288	0.39161	0.74911	6	0.31754	0.36164	0.9842	10	0.37409	0.4036	0.68977
GO_PHOSPHATIDYLCHOLINE_METABOLIC_PROCESS	62	0.41828	0.17283	1	0.58172	0.82817	0.97344	0.36035	0.32867	0.70639	39	0.36166	0.45055	1	23	0.35814	0.24775	0.56232
GO_LUNG_EPITHELIUM_DEVELOPMENT	34	0.53544	0.90609	1	0.46456	0.094905	0.28011	0.35939	0.36264	0.72988	15	0.35429	0.43357	1	19	0.36341	0.32967	0.63677
GO_METENCEPHALON_DEVELOPMENT	98	0.46888	0.61139	1	0.53112	0.38961	0.64202	0.36731	0.34066	0.71592	51	0.33231	0.1998	0.93114	47	0.40528	0.53646	0.77956
GO_G_PROTEIN_COUPLED_PURINERGIC_NUCLEOTIDE_RECEPTOR_SIGNALING_PATHWAY	14	0.50178	0.68132	1	0.49822	0.31968	0.57112	0.52286	0.95504	0.98251	6	0.4475	0.74925	1	8	0.57939	0.93906	0.98109
GO_ACTIN_FILAMENT_BUNDLE_ORGANIZATION	44	0.53709	0.93407	1	0.46291	0.066933	0.2246	0.33786	0.16883	0.55724	17	0.23911	0.036963	0.65528	27	0.40005	0.53347	0.77673
GO_CELLULAR_RESPONSE_TO_VIRUS	21	0.30007	0.011988	0.27989	0.69993	0.98901	1	0.38312	0.4965	0.79874	16	0.33276	0.33167	0.97098	5	0.54428	0.85415	0.94988
GO_CYTOPLASMIC_MRNA_PROCESSING_BODY_ASSEMBLY	12	0.30971	0.064935	0.70774	0.69029	0.93606	1	0.32392	0.27073	0.65368	9	0.29556	0.24276	0.95895	3	0.40898	0.51449	0.76364
GO_RESPIRATORY_GASEOUS_EXCHANGE	47	0.55115	0.96703	1	0.44885	0.033966	0.14743	0.39617	0.64535	0.86255	20	0.41069	0.73526	1	27	0.38541	0.42358	0.70543
GO_NEGATIVE_REGULATION_OF_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION_OR_REMOVAL	134	0.39036	0.007992	0.22873	0.60964	0.99301	1	0.3999	0.76723	0.91926	88	0.37615	0.5964	1	46	0.44533	0.82018	0.93054
GO_AMINO_ACID_ACTIVATION	51	0.44628	0.42757	1	0.55372	0.57343	0.79765	0.44821	0.93606	0.9774	30	0.43966	0.89011	1	21	0.46043	0.81419	0.92945
GO_DENDRITIC_CELL_DIFFERENTIATION	32	0.4112	0.21479	1	0.5888	0.78621	0.94696	0.41402	0.71628	0.90136	21	0.41822	0.76523	1	11	0.40598	0.53047	0.7756
GO_NATURAL_KILLER_CELL_DIFFERENTIATION	12	0.4907	0.63437	1	0.5093	0.36663	0.61981	0.23558	0.052947	0.39474	6	0.21697	0.11489	0.82972	6	0.25419	0.15385	0.45916
GO_BONE_TRABECULA_MORPHOGENESIS	11	0.4193	0.32567	1	0.5807	0.67532	0.87492	0.3662	0.42957	0.76745	6	0.27106	0.23976	0.95731	5	0.48037	0.73227	0.89073
GO_REGULATION_OF_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS	17	0.48314	0.6044	1	0.51686	0.3966	0.64968	0.24592	0.034965	0.33645	9	0.25597	0.12687	0.84004	8	0.23461	0.060939	0.31536
GO_REGULATION_OF_PROTEASOMAL_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS	142	0.47496	0.71828	1	0.52504	0.28272	0.53051	0.35734	0.18981	0.57632	77	0.36125	0.41159	1	65	0.35271	0.12288	0.41568
GO_NEGATIVE_REGULATION_OF_NEURON_DIFFERENTIATION	183	0.45385	0.43856	1	0.54615	0.56244	0.79281	0.384	0.54046	0.81559	103	0.37079	0.54446	1	80	0.40101	0.50649	0.7594
GO_REGULATION_OF_SKELETAL_MUSCLE_TISSUE_DEVELOPMENT	45	0.46201	0.50949	1	0.53799	0.49151	0.73486	0.37488	0.43956	0.77346	27	0.41575	0.77922	1	18	0.31357	0.12887	0.42431
GO_MUSCLE_TISSUE_DEVELOPMENT	259	0.51372	0.998	1	0.48628	0.002997	0.029348	0.37279	0.32168	0.70087	125	0.37854	0.64535	1	133	0.36267	0.083916	0.35958
GO_NEGATIVE_REGULATION_OF_PROTEIN_AUTOPHOSPHORYLATION	10	0.71691	0.98801	1	0.28309	0.012987	0.078381	0.24483	0.081918	0.45187	2	0.19664	0.25774	0.95895	8	0.25688	0.084915	0.35969
GO_ACID_SECRETION	63	0.5189	0.9041	1	0.4811	0.096903	0.28132	0.32836	0.076923	0.43916	30	0.33446	0.25574	0.95895	33	0.32281	0.070929	0.33253
GO_POSITIVE_REGULATION_OF_ADAPTIVE_IMMUNE_RESPONSE	70	0.45387	0.43357	1	0.54613	0.56743	0.79505	0.30454	0.00999	0.20422	39	0.29308	0.064935	0.74737	31	0.31896	0.062937	0.31937
GO_REGULATION_OF_OSTEOCLAST_DIFFERENTIATION	58	0.47798	0.65335	1	0.52202	0.34765	0.60077	0.40827	0.74226	0.91134	32	0.42384	0.84515	1	26	0.3891	0.45055	0.72085
GO_REGULATION_OF_PROTEIN_BINDING	167	0.482	0.8012	1	0.518	0.1998	0.43046	0.36795	0.28971	0.6697	85	0.34374	0.22977	0.95731	82	0.39305	0.43556	0.71203
GO_CARDIAC_SEPTUM_DEVELOPMENT	83	0.52417	0.95604	1	0.47583	0.044955	0.1757	0.35807	0.23576	0.62439	39	0.36836	0.5035	1	44	0.34895	0.15385	0.45916
GO_REGULATION_OF_ICOSANOID_SECRETION	20	0.55936	0.8951	1	0.44064	0.10589	0.29806	0.35213	0.33666	0.71388	9	0.41206	0.65235	1	11	0.3031	0.16184	0.46973
GO_L_ALPHA_AMINO_ACID_TRANSMEMBRANE_TRANSPORT	30	0.39406	0.15185	1	0.60594	0.84915	0.98454	0.26989	0.023976	0.29219	19	0.25631	0.047952	0.7014	11	0.29333	0.13886	0.44115
GO_REGULATION_OF_HISTONE_METHYLATION	50	0.428	0.25874	1	0.572	0.74226	0.91513	0.37796	0.47652	0.79023	31	0.38224	0.64336	1	19	0.37099	0.36464	0.66196
GO_POSITIVE_REGULATION_OF_MITOCHONDRIAL_FISSION	12	0.74165	0.999	1	0.25835	0.001998	0.022784	0.23271	0.048951	0.38535	4	0.57402	0.8991	1	8	0.06206	0.000999	0.030556
GO_ANTIMICROBIAL_HUMORAL_RESPONSE	42	0.39061	0.097902	0.87559	0.60939	0.9031	1	0.35706	0.28172	0.66227	27	0.32977	0.27473	0.95895	15	0.40619	0.55145	0.78595
GO_EPIDERMIS_MORPHOGENESIS	27	0.47859	0.61239	1	0.52141	0.38861	0.64156	0.33298	0.18581	0.57401	15	0.36114	0.46154	1	12	0.29779	0.12288	0.41568
GO_INTERMEDIATE_FILAMENT_BASED_PROCESS	40	0.50378	0.77822	1	0.49622	0.22278	0.45986	0.39375	0.5964	0.84471	23	0.47941	0.94406	1	17	0.27786	0.051948	0.28871
GO_COGNITION	235	0.49529	0.94306	1	0.50471	0.057942	0.20497	0.35858	0.10989	0.49289	120	0.36271	0.41758	1	115	0.35427	0.063936	0.32004
GO_RESPONSE_TO_ZINC_ION	53	0.59146	0.997	1	0.40854	0.003996	0.034622	0.39166	0.58741	0.83976	21	0.46316	0.92507	1	32	0.34473	0.16583	0.47665
GO_PURINE_DEOXYRIBONUCLEOTIDE_METABOLIC_PROCESS	14	0.30373	0.043956	0.56683	0.69627	0.95704	1	0.38339	0.51648	0.80645	11	0.35782	0.46753	1	3	0.47714	0.66034	0.84495
GO_DISRUPTION_OF_CELLS_OF_OTHER_ORGANISM	23	0.52041	0.79021	1	0.47959	0.21079	0.44358	0.40339	0.63137	0.85785	12	0.46736	0.85814	1	11	0.3336	0.23676	0.55617
GO_AXIS_SPECIFICATION	86	0.49311	0.82418	1	0.50689	0.17682	0.40184	0.33632	0.075924	0.43854	42	0.30641	0.093906	0.80971	44	0.36488	0.24675	0.56092
GO_PHOSPHATIDYLINOSITOL_METABOLIC_PROCESS	188	0.49221	0.9031	1	0.50779	0.097902	0.28348	0.40071	0.77023	0.91938	98	0.41023	0.91009	1	90	0.39035	0.38861	0.67881
GO_CELL_PART_MORPHOGENESIS	595	0.45694	0.42757	1	0.54306	0.57343	0.79765	0.38169	0.48851	0.79541	325	0.35518	0.22977	0.95731	270	0.41361	0.79121	0.92028
GO_PIGMENT_GRANULE_LOCALIZATION	23	0.48995	0.66833	1	0.51005	0.33267	0.5849	0.40592	0.64036	0.86054	10	0.29369	0.25275	0.95895	13	0.49224	0.84216	0.94294
GO_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_SIGNALING_PATHWAY	14	0.57215	0.88711	1	0.42785	0.11389	0.31013	0.54404	0.97103	0.98897	8	0.72729	1	1	6	0.2997	0.25075	0.56623
GO_RESPONSE_TO_ORGANOPHOSPHORUS	138	0.55377	1	1	0.44623	0.000999	0.013594	0.3233	0.010989	0.2157	57	0.31102	0.072927	0.76591	81	0.33194	0.020979	0.17997
GO_AXO_DENDRITIC_TRANSPORT	33	0.52677	0.86813	1	0.47323	0.13287	0.34188	0.34082	0.22677	0.61527	15	0.3338	0.33267	0.97098	18	0.34666	0.24675	0.56092
GO_SINGLE_ORGANISM_MEMBRANE_FUSION	117	0.49903	0.8961	1	0.50097	0.1049	0.29619	0.35924	0.21379	0.60328	60	0.37336	0.56444	1	57	0.34438	0.098901	0.37976
GO_REGULATION_OF_PROTEIN_UBIQUITINATION_INVOLVED_IN_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS	102	0.37304	0.001998	0.084411	0.62696	0.999	1	0.37712	0.43457	0.76948	67	0.33258	0.17083	0.91064	35	0.46237	0.89311	0.96504
GO_SKELETAL_MUSCLE_TISSUE_REGENERATION	23	0.39359	0.18282	1	0.60641	0.81818	0.96889	0.43261	0.77622	0.92117	15	0.40184	0.66533	1	8	0.49029	0.77922	0.91304
GO_POLYSACCHARIDE_BIOSYNTHETIC_PROCESS	41	0.64993	0.998	1	0.35007	0.002997	0.029348	0.29761	0.038961	0.35272	16	0.48427	0.93207	1	25	0.17815	0.000999	0.030556
GO_REGULATION_OF_TYROSINE_PHOSPHORYLATION_OF_STAT_PROTEIN	65	0.43801	0.2977	1	0.56199	0.7033	0.89597	0.40394	0.74625	0.91238	38	0.38418	0.61638	1	27	0.43175	0.72228	0.88489
GO_ORGAN_REGENERATION	81	0.53378	0.98402	1	0.46622	0.016983	0.094053	0.3417	0.12088	0.50957	38	0.37039	0.51449	1	43	0.31635	0.030969	0.22297
GO_GLAND_MORPHOGENESIS	95	0.52303	0.96603	1	0.47697	0.034965	0.15059	0.37728	0.44056	0.77368	44	0.37747	0.56344	1	51	0.37712	0.30969	0.62317
GO_NEGATIVE_REGULATION_OF_ADAPTIVE_IMMUNE_RESPONSE	34	0.45905	0.49251	1	0.54095	0.50849	0.74865	0.40164	0.66434	0.87578	19	0.39135	0.62837	1	15	0.41468	0.59041	0.80892
GO_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE_BY_CIRCULATORY_RENIN_ANGIOTENSIN	14	0.73554	1	1	0.26446	0.000999	0.013594	0.4067	0.61039	0.84966	4	0.78612	0.99401	1	10	0.25493	0.071928	0.33579
GO_RIBOSOME_BIOGENESIS	292	0.33484	0.000999	0.053392	0.66516	1	1	0.34947	0.026973	0.30139	206	0.30484	0.006993	0.33688	86	0.45639	0.96803	0.99541
GO_B_CELL_HOMEOSTASIS	21	0.47148	0.56843	1	0.52852	0.43257	0.68166	0.38071	0.48352	0.79457	12	0.40821	0.67832	1	9	0.34405	0.29171	0.60539
GO_IRE1_MEDIATED_UNFOLDED_PROTEIN_RESPONSE	53	0.46573	0.55145	1	0.53427	0.44955	0.69582	0.40082	0.65834	0.87202	32	0.44705	0.92108	1	21	0.33038	0.13886	0.44115
GO_SINGLE_ORGANISM_BEHAVIOR	364	0.51306	0.998	1	0.48694	0.002997	0.029348	0.36774	0.17183	0.55923	178	0.38025	0.71329	1	186	0.35577	0.032967	0.23098
GO_POSITIVE_REGULATION_OF_CALCIUM_ION_DEPENDENT_EXOCYTOSIS	22	0.54385	0.85814	1	0.45615	0.14286	0.35742	0.27331	0.045954	0.37891	9	0.21901	0.056943	0.73378	13	0.31091	0.13487	0.43374
GO_POSITIVE_REGULATION_OF_ENDOCYTOSIS	114	0.57264	1	1	0.42736	0.000999	0.013594	0.34557	0.11788	0.50659	50	0.41958	0.89111	1	64	0.28776	0.004995	0.086198
GO_MRNA_SPLICE_SITE_SELECTION	26	0.32174	0.023976	0.40135	0.67826	0.97702	1	0.44343	0.86414	0.95332	19	0.37525	0.54945	1	7	0.62848	0.97003	0.99608
GO_REGULATION_OF_TRANSLATION_IN_RESPONSE_TO_STRESS	19	0.43742	0.38561	1	0.56258	0.61538	0.82898	0.41646	0.7023	0.89626	13	0.48211	0.9011	1	6	0.27423	0.19381	0.51562
GO_NEGATIVE_REGULATION_OF_GENE_EXPRESSION	1393	0.44738	0.080919	0.79415	0.55262	0.92008	1	0.36735	0.045954	0.37891	778	0.33941	0.003996	0.26433	615	0.4027	0.61738	0.82151
GO_PHENOL_CONTAINING_COMPOUND_BIOSYNTHETIC_PROCESS	33	0.57428	0.96803	1	0.42572	0.032967	0.14551	0.36292	0.38162	0.74086	15	0.46262	0.87612	1	18	0.27984	0.053946	0.29869
GO_POSITIVE_REGULATION_OF_ERYTHROCYTE_DIFFERENTIATION	23	0.52474	0.81019	1	0.47526	0.19081	0.41944	0.28686	0.06993	0.42965	11	0.30617	0.26374	0.95895	12	0.26917	0.06993	0.33099
GO_DENDRITIC_CELL_MIGRATION	20	0.56353	0.90509	1	0.43647	0.095904	0.28118	0.44394	0.81419	0.93386	9	0.52332	0.92408	1	11	0.37899	0.41558	0.69948
GO_SENSORY_PERCEPTION_OF_TEMPERATURE_STIMULUS	19	0.61912	0.97502	1	0.38088	0.025974	0.12363	0.43703	0.78521	0.92393	6	0.48584	0.82218	1	13	0.41451	0.54945	0.78595
GO_LYSOSOMAL_TRANSPORT	65	0.5221	0.92208	1	0.4779	0.078921	0.25025	0.3783	0.47153	0.78635	30	0.37437	0.54346	1	35	0.38167	0.36364	0.66196
GO_CELLULAR_CATABOLIC_PROCESS	1251	0.51367	1	1	0.48633	0.000999	0.013594	0.33885	0.000999	0.062416	606	0.34579	0.040959	0.67234	645	0.33234	0.000999	0.030556
GO_POSITIVE_REGULATION_OF_DNA_BIOSYNTHETIC_PROCESS	57	0.32775	0.000999	0.053392	0.67225	1	1	0.38807	0.55145	0.81841	42	0.351	0.36763	0.9842	15	0.49186	0.87413	0.95864
GO_POSITIVE_REGULATION_OF_MACROPHAGE_ACTIVATION	12	0.48782	0.62138	1	0.51218	0.37962	0.63237	0.47855	0.85814	0.94978	6	0.45419	0.75724	1	6	0.50292	0.8002	0.92251
